,0,1,2
347,Bacteroides-finegoldii-DSM-17565-MAF-2,ec,5-4-99-2
350,Bacteroides-fragilis-2-1-16-MAF-2,ec,5-4-99-2
355,Bacteroides-fragilis-3-1-12-MAF-2,ec,5-4-99-2
359,Bacteroides-intestinalis-DSM-17393-MAF-2,ec,5-4-99-2
363,Bacteroides-ovatus-ATCC-8483-MAF-2,ec,5-4-99-2
367,Bacteroides-pectinophilus-ATCC-43243-MAF-2,ec,5-4-99-2
368,Bacteroides-plebeius-DSM-17135-MAF-2,ec,5-4-99-2
371,Bacteroides-rodentium-JCM-16496-MAF-2,ec,5-4-99-2
374,Bacteroides-sp-3-1-19-MAF-2,ec,5-4-99-2
376,Bacteroides-sp-9-1-42FAA-MAF-2,ec,5-4-99-2
380,Bacteroides-sp-D2-MAF-2,ec,5-4-99-2
383,Bacteroides-stercoris-ATCC-43183-MAF-2,ec,5-4-99-2
386,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,ec,5-4-99-2
390,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,ec,5-4-99-2
394,Bacteroides-uniformis-ATCC-8492-MAF-2,ec,5-4-99-2
397,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,ec,5-4-99-2
401,Bacteroides_fragilis,ec,5-4-99-2
406,Bacteroides_ovatus,ec,5-4-99-2
410,Bacteroides_thetaiotaomicron,ec,5-4-99-2
414,Blautia-hansenii-DSM-20583-MAF-2,ec,5-4-99-2
415,Blautia-wexlerae-DSM-19850-MAF-2,ec,5-4-99-2
416,Butyricimonas-virosa-DSM-23226-MAF-2,ec,5-4-99-2
419,Butyrivibrio-crossotus-DSM-2876-MAF-2,ec,5-4-99-2
420,Catenibacterium-mitsuokai-DSM-15897-MAF-2,ec,5-4-99-2
421,Clostridium-scindens-ATCC-35704-MAF-2,ec,5-4-99-2
423,Clostridium-sp-M62-1-MAF-2,ec,5-4-99-2
424,Clostridium-spiroforme-DSM-1552-MAF-2,ec,5-4-99-2
425,Collinsella_aerofaciens,ec,5-4-99-2
426,Coprococcus-comes-ATCC-27758-MAF-2,ec,5-4-99-2
427,Coprococcus-eutactus-ATCC-27759-MAF-2,ec,5-4-99-2
428,Desulfovibrio_piger,ec,5-4-99-2
429,Dorea-formicigenerans-ATCC-27755-MAF-2,ec,5-4-99-2
431,Dorea-longicatena-DSM-13814-MAF-2,ec,5-4-99-2
433,Enterocloster-asparagiformis-DSM-15981-MAF-2,ec,5-4-99-2
435,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,ec,5-4-99-2
437,Escherichia_coli,ec,5-4-99-2
438,Eubacterium-siraeum-DSM-15702-MAF-2,ec,5-4-99-2
439,Eubacterium-ventriosum-ATCC-27560-MAF-2,ec,5-4-99-2
440,Eubacterium_eligens,ec,5-4-99-2
441,Eubacterium_rectale,ec,5-4-99-2
442,Faecalibacterium_prausnitzii,ec,5-4-99-2
443,Intestinibacter-bartlettii-DSM-16795-MAF-2,ec,5-4-99-2
448,Lachnospira-eligens-ATCC-27750-MAF-2,ec,5-4-99-2
449,Megasphaera-elsdenii-14-14-MAF-2,ec,5-4-99-2
450,Mitsuokella-multacida-DSM-20544-MAF-2,ec,5-4-99-2
451,Parabacteroides-johnsonii-DSM-18315-MAF-2,ec,5-4-99-2
454,Parabacteroides-merdae-ATCC-43184-MAF-2,ec,5-4-99-2
457,Parabacteroides-sp-D13-MAF-2,ec,5-4-99-2
459,Phocaeicola_vulgatus,ec,5-4-99-2
463,Prevotella-copri-DSM-18205-MAF-2,ec,5-4-99-2
464,Roseburia-intestinalis-L1-82-MAF-2,ec,5-4-99-2
465,Roseburia_intestinalis,ec,5-4-99-2
466,Ruminococcus-gauvreauii-DSM-19829-MAF-2,ec,5-4-99-2
467,Ruminococcus-lactaris-ATCC-29176-MAF-2,ec,5-4-99-2
468,Ruminococcus-torques-ATCC-27756-MAF-2,ec,5-4-99-2
470,Streptococcus-thermophilus-LMD-9-MAF-2,ec,5-4-99-2
471,Subdoligranulum-variabile-DSM-15176-MAF-2,ec,5-4-99-2
472,Tyzzerella-nexilis-DSM-1787-MAF-2,ec,5-4-99-2
473,Veillonella-sp-3-1-44-MAF-2,ec,5-4-99-2
480,Veillonella-sp-6-1-27-MAF-2,ec,5-4-99-2
487,Acidaminococcus-intestini-D21-MAF-2,ko,K03416
492,Akkermansia_muciniphila,ko,K03416
494,Alistipes-ihumii-AP11-MAF-2,ko,K03416
498,Alistipes-indistinctus-YIT-12060-MAF-2,ko,K03416
502,Alistipes-onderdonkii-DSM-19147-MAF-2,ko,K03416
504,Alistipes-putredinis-DSM-17216-MAF-2,ko,K03416
506,Alistipes-senegalensis-JC50-MAF-2,ko,K03416
508,Alistipes-shahii-WAL-8301-MAF-2,ko,K03416
510,Anaerobutyricum_hallii,ko,K03416
513,Anaerostipes-caccae-DSM-14662-MAF-2,ko,K03416
514,Anaerotruncus-colihominis-DSM-17241-MAF-2,ko,K03416
518,Bacteroides-caccae-ATCC-43185-MAF-2,ko,K03416
520,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,ko,K03416
523,Bacteroides-coprophilus-DSM-18228-MAF-2,ko,K03416
525,Bacteroides-dorei-5-1-36-D4-MAF-2,ko,K03416
528,Bacteroides-dorei-DSM-17855-MAF-2,ko,K03416
531,Bacteroides-eggerthii-DSM-20697-MAF-2,ko,K03416
535,Bacteroides-finegoldii-DSM-17565-MAF-2,ko,K03416
538,Bacteroides-fragilis-2-1-16-MAF-2,ko,K03416
542,Bacteroides-fragilis-3-1-12-MAF-2,ko,K03416
547,Bacteroides-intestinalis-DSM-17393-MAF-2,ko,K03416
550,Bacteroides-ovatus-ATCC-8483-MAF-2,ko,K03416
553,Bacteroides-pectinophilus-ATCC-43243-MAF-2,ko,K03416
554,Bacteroides-plebeius-DSM-17135-MAF-2,ko,K03416
557,Bacteroides-rodentium-JCM-16496-MAF-2,ko,K03416
561,Bacteroides-sp-3-1-19-MAF-2,ko,K03416
566,Bacteroides-sp-9-1-42FAA-MAF-2,ko,K03416
569,Bacteroides-sp-D2-MAF-2,ko,K03416
572,Bacteroides-stercoris-ATCC-43183-MAF-2,ko,K03416
575,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,ko,K03416
578,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,ko,K03416
581,Bacteroides-uniformis-ATCC-8492-MAF-2,ko,K03416
585,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,ko,K03416
588,Bacteroides_fragilis,ko,K03416
592,Bacteroides_ovatus,ko,K03416
595,Bacteroides_thetaiotaomicron,ko,K03416
598,Blautia-hansenii-DSM-20583-MAF-2,ko,K03416
599,Blautia-hydrogenotrophica-DSM-10507-MAF-2,ko,K03416
601,Blautia-obeum-ATCC-29174-MAF-2,ko,K03416
602,Blautia-sp-KLE-1732-MAF-2,ko,K03416
605,Blautia-wexlerae-DSM-19850-MAF-2,ko,K03416
606,Butyricimonas-virosa-DSM-23226-MAF-2,ko,K03416
608,Butyrivibrio-crossotus-DSM-2876-MAF-2,ko,K03416
609,Clostridium-scindens-ATCC-35704-MAF-2,ko,K03416
610,Clostridium-sp-M62-1-MAF-2,ko,K03416
613,Collinsella-stercoris-DSM-13279-MAF-2,ko,K03416
614,Coprococcus-comes-ATCC-27758-MAF-2,ko,K03416
615,Coprococcus-eutactus-ATCC-27759-MAF-2,ko,K03416
618,Desulfovibrio_piger,ko,K03416
620,Dorea-formicigenerans-ATCC-27755-MAF-2,ko,K03416
622,Dorea-longicatena-DSM-13814-MAF-2,ko,K03416
625,Enterocloster-asparagiformis-DSM-15981-MAF-2,ko,K03416
627,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,ko,K03416
630,Escherichia_coli,ko,K03416
631,Eubacterium-siraeum-DSM-15702-MAF-2,ko,K03416
632,Eubacterium-ventriosum-ATCC-27560-MAF-2,ko,K03416
633,Eubacterium_eligens,ko,K03416
634,Eubacterium_rectale,ko,K03416
636,Faecalibacterium_prausnitzii,ko,K03416
637,Granulicatella-adiacens-ATCC-49175-MAF-2,ko,K03416
639,Intestinibacter-bartlettii-DSM-16795-MAF-2,ko,K03416
640,Lachnospira-eligens-ATCC-27750-MAF-2,ko,K03416
641,Lactobacillus-ruminis-ATCC-25644-MAF-2,ko,K03416
642,Lactococcus-lactis-IL1403-MAF-2,ko,K03416
644,Marvinbryantia-formatexigens-DSM-14469-MAF-2,ko,K03416
645,Megasphaera-elsdenii-14-14-MAF-2,ko,K03416
647,Mitsuokella-multacida-DSM-20544-MAF-2,ko,K03416
648,Parabacteroides-johnsonii-DSM-18315-MAF-2,ko,K03416
653,Parabacteroides-merdae-ATCC-43184-MAF-2,ko,K03416
658,Parabacteroides-sp-D13-MAF-2,ko,K03416
663,Phocaeicola_vulgatus,ko,K03416
667,Prevotella-buccalis-ATCC-35310-MAF-2,ko,K03416
668,Prevotella-copri-DSM-18205-MAF-2,ko,K03416
670,Roseburia-intestinalis-L1-82-MAF-2,ko,K03416
671,Roseburia_intestinalis,ko,K03416
672,Ruminococcus-gauvreauii-DSM-19829-MAF-2,ko,K03416
675,Ruminococcus-lactaris-ATCC-29176-MAF-2,ko,K03416
676,Ruminococcus-torques-ATCC-27756-MAF-2,ko,K03416
677,Ruminococcus_bromii,ko,K03416
679,Streptococcus-thermophilus-LMD-9-MAF-2,ko,K03416
681,Subdoligranulum-variabile-DSM-15176-MAF-2,ko,K03416
682,Tyzzerella-nexilis-DSM-1787-MAF-2,ko,K03416
683,Veillonella-sp-3-1-44-MAF-2,ko,K03416
686,Veillonella-sp-6-1-27-MAF-2,ko,K03416
689,Acidaminococcus-intestini-D21-MAF-2,ko,K17489
691,Akkermansia_muciniphila,ko,K17489
692,Alistipes-ihumii-AP11-MAF-2,ko,K17489
695,Alistipes-indistinctus-YIT-12060-MAF-2,ko,K17489
698,Alistipes-onderdonkii-DSM-19147-MAF-2,ko,K17489
699,Alistipes-putredinis-DSM-17216-MAF-2,ko,K17489
700,Alistipes-senegalensis-JC50-MAF-2,ko,K17489
701,Alistipes-shahii-WAL-8301-MAF-2,ko,K17489
702,Anaerobutyricum_hallii,ko,K17489
705,Anaerostipes-caccae-DSM-14662-MAF-2,ko,K17489
707,Anaerotruncus-colihominis-DSM-17241-MAF-2,ko,K17489
709,Bacteroides-caccae-ATCC-43185-MAF-2,ko,K17489
712,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,ko,K17489
714,Bacteroides-coprophilus-DSM-18228-MAF-2,ko,K17489
716,Bacteroides-dorei-5-1-36-D4-MAF-2,ko,K17489
719,Bacteroides-dorei-DSM-17855-MAF-2,ko,K17489
722,Bacteroides-eggerthii-DSM-20697-MAF-2,ko,K17489
723,Bacteroides-finegoldii-DSM-17565-MAF-2,ko,K17489
725,Bacteroides-fragilis-2-1-16-MAF-2,ko,K17489
728,Bacteroides-fragilis-3-1-12-MAF-2,ko,K17489
731,Bacteroides-intestinalis-DSM-17393-MAF-2,ko,K17489
732,Bacteroides-ovatus-ATCC-8483-MAF-2,ko,K17489
735,Bacteroides-pectinophilus-ATCC-43243-MAF-2,ko,K17489
738,Bacteroides-plebeius-DSM-17135-MAF-2,ko,K17489
740,Bacteroides-rodentium-JCM-16496-MAF-2,ko,K17489
741,Bacteroides-sp-3-1-19-MAF-2,ko,K17489
745,Bacteroides-sp-9-1-42FAA-MAF-2,ko,K17489
748,Bacteroides-sp-D2-MAF-2,ko,K17489
751,Bacteroides-stercoris-ATCC-43183-MAF-2,ko,K17489
752,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,ko,K17489
755,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,ko,K17489
758,Bacteroides-uniformis-ATCC-8492-MAF-2,ko,K17489
760,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,ko,K17489
763,Bacteroides_fragilis,ko,K17489
766,Bacteroides_ovatus,ko,K17489
769,Bacteroides_thetaiotaomicron,ko,K17489
772,Bifidobacterium-adolescentis-L2-32-MAF-2,ko,K17489
773,Bifidobacterium_adolescentis,ko,K17489
774,Bifidobacterium_longum,ko,K17489
775,Blautia-hansenii-DSM-20583-MAF-2,ko,K17489
778,Blautia-hydrogenotrophica-DSM-10507-MAF-2,ko,K17489
781,Blautia-obeum-ATCC-29174-MAF-2,ko,K17489
784,Blautia-sp-KLE-1732-MAF-2,ko,K17489
787,Blautia-wexlerae-DSM-19850-MAF-2,ko,K17489
792,Butyricimonas-virosa-DSM-23226-MAF-2,ko,K17489
794,Butyrivibrio-crossotus-DSM-2876-MAF-2,ko,K17489
796,Catenibacterium-mitsuokai-DSM-15897-MAF-2,ko,K17489
798,Clostridium-scindens-ATCC-35704-MAF-2,ko,K17489
801,Clostridium-sp-M62-1-MAF-2,ko,K17489
805,Clostridium-spiroforme-DSM-1552-MAF-2,ko,K17489
807,Collinsella_aerofaciens,ko,K17489
809,Coprococcus-comes-ATCC-27758-MAF-2,ko,K17489
811,Coprococcus-eutactus-ATCC-27759-MAF-2,ko,K17489
813,Desulfovibrio_piger,ko,K17489
815,Dorea-formicigenerans-ATCC-27755-MAF-2,ko,K17489
817,Dorea-longicatena-DSM-13814-MAF-2,ko,K17489
819,Enterocloster-asparagiformis-DSM-15981-MAF-2,ko,K17489
822,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,ko,K17489
824,Escherichia_coli,ko,K17489
826,Eubacterium-siraeum-DSM-15702-MAF-2,ko,K17489
829,Eubacterium-ventriosum-ATCC-27560-MAF-2,ko,K17489
831,Eubacterium_eligens,ko,K17489
836,Eubacterium_rectale,ko,K17489
838,Faecalibacterium_prausnitzii,ko,K17489
841,Granulicatella-adiacens-ATCC-49175-MAF-2,ko,K17489
844,Intestinibacter-bartlettii-DSM-16795-MAF-2,ko,K17489
846,Lachnospira-eligens-ATCC-27750-MAF-2,ko,K17489
851,Lactobacillus-ruminis-ATCC-25644-MAF-2,ko,K17489
853,Lactococcus-lactis-IL1403-MAF-2,ko,K17489
855,Marvinbryantia-formatexigens-DSM-14469-MAF-2,ko,K17489
858,Megasphaera-elsdenii-14-14-MAF-2,ko,K17489
859,Mitsuokella-multacida-DSM-20544-MAF-2,ko,K17489
860,Parabacteroides-johnsonii-DSM-18315-MAF-2,ko,K17489
863,Parabacteroides-merdae-ATCC-43184-MAF-2,ko,K17489
866,Parabacteroides-sp-D13-MAF-2,ko,K17489
870,Phocaeicola_vulgatus,ko,K17489
872,Prevotella-buccalis-ATCC-35310-MAF-2,ko,K17489
873,Prevotella-copri-DSM-18205-MAF-2,ko,K17489
874,Roseburia-intestinalis-L1-82-MAF-2,ko,K17489
876,Roseburia_intestinalis,ko,K17489
878,Ruminococcus-gauvreauii-DSM-19829-MAF-2,ko,K17489
880,Ruminococcus-lactaris-ATCC-29176-MAF-2,ko,K17489
883,Ruminococcus-torques-ATCC-27756-MAF-2,ko,K17489
886,Ruminococcus_bromii,ko,K17489
889,Streptococcus-thermophilus-LMD-9-MAF-2,ko,K17489
892,Subdoligranulum-variabile-DSM-15176-MAF-2,ko,K17489
895,Tyzzerella-nexilis-DSM-1787-MAF-2,ko,K17489
897,Veillonella-sp-3-1-44-MAF-2,ko,K17489
898,Veillonella-sp-6-1-27-MAF-2,ko,K17489
899,Acidaminococcus-intestini-D21-MAF-2,ko,K17490
908,Akkermansia_muciniphila,ko,K17490
915,Alistipes-ihumii-AP11-MAF-2,ko,K17490
935,Alistipes-indistinctus-YIT-12060-MAF-2,ko,K17490
951,Alistipes-onderdonkii-DSM-19147-MAF-2,ko,K17490
964,Alistipes-putredinis-DSM-17216-MAF-2,ko,K17490
972,Alistipes-senegalensis-JC50-MAF-2,ko,K17490
985,Alistipes-shahii-WAL-8301-MAF-2,ko,K17490
996,Anaerobutyricum_hallii,ko,K17490
1003,Anaerostipes-caccae-DSM-14662-MAF-2,ko,K17490
1006,Anaerotruncus-colihominis-DSM-17241-MAF-2,ko,K17490
1010,Bacteroides-caccae-ATCC-43185-MAF-2,ko,K17490
1035,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,ko,K17490
1059,Bacteroides-coprophilus-DSM-18228-MAF-2,ko,K17490
1086,Bacteroides-dorei-5-1-36-D4-MAF-2,ko,K17490
1109,Bacteroides-dorei-DSM-17855-MAF-2,ko,K17490
1133,Bacteroides-eggerthii-DSM-20697-MAF-2,ko,K17490
1148,Bacteroides-finegoldii-DSM-17565-MAF-2,ko,K17490
1168,Bacteroides-fragilis-2-1-16-MAF-2,ko,K17490
1192,Bacteroides-fragilis-3-1-12-MAF-2,ko,K17490
1216,Bacteroides-intestinalis-DSM-17393-MAF-2,ko,K17490
1237,Bacteroides-ovatus-ATCC-8483-MAF-2,ko,K17490
1262,Bacteroides-pectinophilus-ATCC-43243-MAF-2,ko,K17490
1268,Bacteroides-plebeius-DSM-17135-MAF-2,ko,K17490
1294,Bacteroides-rodentium-JCM-16496-MAF-2,ko,K17490
1317,Bacteroides-sp-3-1-19-MAF-2,ko,K17490
1341,Bacteroides-sp-9-1-42FAA-MAF-2,ko,K17490
1365,Bacteroides-sp-D2-MAF-2,ko,K17490
1388,Bacteroides-stercoris-ATCC-43183-MAF-2,ko,K17490
1405,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,ko,K17490
1431,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,ko,K17490
1455,Bacteroides-uniformis-ATCC-8492-MAF-2,ko,K17490
1478,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,ko,K17490
1502,Bacteroides_fragilis,ko,K17490
1526,Bacteroides_ovatus,ko,K17490
1551,Bacteroides_thetaiotaomicron,ko,K17490
1575,Bifidobacterium-adolescentis-L2-32-MAF-2,ko,K17490
1576,Bifidobacterium_adolescentis,ko,K17490
1578,Bifidobacterium_longum,ko,K17490
1579,Blautia-hansenii-DSM-20583-MAF-2,ko,K17490
1583,Blautia-hydrogenotrophica-DSM-10507-MAF-2,ko,K17490
1590,Blautia-obeum-ATCC-29174-MAF-2,ko,K17490
1593,Blautia-sp-KLE-1732-MAF-2,ko,K17490
1597,Blautia-wexlerae-DSM-19850-MAF-2,ko,K17490
1603,Butyricimonas-virosa-DSM-23226-MAF-2,ko,K17490
1622,Butyrivibrio-crossotus-DSM-2876-MAF-2,ko,K17490
1623,Catenibacterium-mitsuokai-DSM-15897-MAF-2,ko,K17490
1624,Clostridium-scindens-ATCC-35704-MAF-2,ko,K17490
1626,Clostridium-sp-M62-1-MAF-2,ko,K17490
1640,Clostridium-spiroforme-DSM-1552-MAF-2,ko,K17490
1641,Collinsella-stercoris-DSM-13279-MAF-2,ko,K17490
1646,Collinsella_aerofaciens,ko,K17490
1650,Coprococcus-comes-ATCC-27758-MAF-2,ko,K17490
1653,Coprococcus-eutactus-ATCC-27759-MAF-2,ko,K17490
1657,Desulfovibrio_piger,ko,K17490
1669,Dorea-formicigenerans-ATCC-27755-MAF-2,ko,K17490
1673,Dorea-longicatena-DSM-13814-MAF-2,ko,K17490
1675,Enterocloster-asparagiformis-DSM-15981-MAF-2,ko,K17490
1688,Enterocloster-bolteae-ATCC-BAA-613-MAF-2,ko,K17490
1703,Escherichia_coli,ko,K17490
1723,Eubacterium-siraeum-DSM-15702-MAF-2,ko,K17490
1725,Eubacterium-ventriosum-ATCC-27560-MAF-2,ko,K17490
1727,Eubacterium_eligens,ko,K17490
1729,Eubacterium_rectale,ko,K17490
1732,Faecalibacterium_prausnitzii,ko,K17490
1738,Granulicatella-adiacens-ATCC-49175-MAF-2,ko,K17490
1743,Intestinibacter-bartlettii-DSM-16795-MAF-2,ko,K17490
1746,Lachnospira-eligens-ATCC-27750-MAF-2,ko,K17490
1748,Lactobacillus-ruminis-ATCC-25644-MAF-2,ko,K17490
1751,Lactococcus-lactis-IL1403-MAF-2,ko,K17490
1755,Marvinbryantia-formatexigens-DSM-14469-MAF-2,ko,K17490
1760,Megasphaera-elsdenii-14-14-MAF-2,ko,K17490
1768,Mitsuokella-multacida-DSM-20544-MAF-2,ko,K17490
1781,Parabacteroides-johnsonii-DSM-18315-MAF-2,ko,K17490
1802,Parabacteroides-merdae-ATCC-43184-MAF-2,ko,K17490
1822,Parabacteroides-sp-D13-MAF-2,ko,K17490
1846,Phocaeicola_vulgatus,ko,K17490
1865,Prevotella-buccalis-ATCC-35310-MAF-2,ko,K17490
1874,Prevotella-copri-DSM-18205-MAF-2,ko,K17490
1888,Roseburia-intestinalis-L1-82-MAF-2,ko,K17490
1892,Roseburia_intestinalis,ko,K17490
1896,Ruminococcus-gauvreauii-DSM-19829-MAF-2,ko,K17490
