,strain,pHMM,hsp_score
60,Alistipes-putredinis-DSM-17216-MAF-2,malYcustom,390.2
61,Alistipes-putredinis-DSM-17216-MAF-2,metC,104.7
62,Alistipes-putredinis-DSM-17216-MAF-2,metCcustom,213.1
63,Alistipes-putredinis-DSM-17216-MAF-2,tnaA,841.1
64,Alistipes-senegalensis-JC50-MAF-2,cysK,431.5
65,Alistipes-senegalensis-JC50-MAF-2,cysKcustom,525.1
66,Alistipes-senegalensis-JC50-MAF-2,cysM,301.7
67,Alistipes-senegalensis-JC50-MAF-2,cysMcustom,355.6
68,Alistipes-senegalensis-JC50-MAF-2,lcd,38.3
69,Alistipes-senegalensis-JC50-MAF-2,lcdcustom,25.2
70,Alistipes-senegalensis-JC50-MAF-2,malY,441.2
71,Alistipes-senegalensis-JC50-MAF-2,malYcustom,587.1
72,Alistipes-senegalensis-JC50-MAF-2,metC,113.1
73,Alistipes-senegalensis-JC50-MAF-2,metCcustom,246.0
74,Alistipes-shahii-WAL-8301-MAF-2,cysK,313.1
75,Alistipes-shahii-WAL-8301-MAF-2,cysKcustom,392.4
76,Alistipes-shahii-WAL-8301-MAF-2,cysM,349.5
77,Alistipes-shahii-WAL-8301-MAF-2,cysMcustom,433.7
78,Alistipes-shahii-WAL-8301-MAF-2,lcd,35.7
79,Alistipes-shahii-WAL-8301-MAF-2,lcdcustom,23.8
80,Alistipes-shahii-WAL-8301-MAF-2,malY,431.5
81,Alistipes-shahii-WAL-8301-MAF-2,malYcustom,569.2
82,Alistipes-shahii-WAL-8301-MAF-2,metC,86.8
83,Alistipes-shahii-WAL-8301-MAF-2,metCcustom,192.0
84,Alistipes-shahii-WAL-8301-MAF-2,tnaA,843.5
85,Anaerobutyricum_hallii,cysK,455.2
86,Anaerobutyricum_hallii,cysKcustom,531.8
87,Anaerobutyricum_hallii,cysM,306.5
88,Anaerobutyricum_hallii,cysMcustom,363.1
89,Anaerobutyricum_hallii,lcd,35.6
90,Anaerobutyricum_hallii,lcdcustom,45.0
91,Anaerobutyricum_hallii,malY,160.6
92,Anaerobutyricum_hallii,malYcustom,221.3
93,Anaerobutyricum_hallii,metC,129.8
94,Anaerobutyricum_hallii,metCcustom,350.8
95,Anaerostipes-caccae-DSM-14662-MAF-2,cysK,470.5
96,Anaerostipes-caccae-DSM-14662-MAF-2,cysKcustom,555.7
97,Anaerostipes-caccae-DSM-14662-MAF-2,cysM,325.9
98,Anaerostipes-caccae-DSM-14662-MAF-2,cysMcustom,380.4
99,Anaerostipes-caccae-DSM-14662-MAF-2,lcd,32.4
100,Anaerostipes-caccae-DSM-14662-MAF-2,lcdcustom,29.5
101,Anaerostipes-caccae-DSM-14662-MAF-2,malY,155.4
102,Anaerostipes-caccae-DSM-14662-MAF-2,malYcustom,219.3
103,Anaerostipes-caccae-DSM-14662-MAF-2,metC,122.1
104,Anaerostipes-caccae-DSM-14662-MAF-2,metCcustom,247.7
105,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysK,474.3
106,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysKcustom,553.1
107,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysM,317.0
108,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysMcustom,378.7
109,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcd,69.0
110,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcdcustom,75.0
111,Anaerotruncus-colihominis-DSM-17241-MAF-2,malY,427.6
112,Anaerotruncus-colihominis-DSM-17241-MAF-2,malYcustom,527.8
113,Anaerotruncus-colihominis-DSM-17241-MAF-2,metC,176.9
114,Anaerotruncus-colihominis-DSM-17241-MAF-2,metCcustom,368.9
115,Anaerotruncus-colihominis-DSM-17241-MAF-2,tnaA,770.2
116,Bacteroides-caccae-ATCC-43185-MAF-2,cysK,461.5
117,Bacteroides-caccae-ATCC-43185-MAF-2,cysKcustom,542.6
118,Bacteroides-caccae-ATCC-43185-MAF-2,cysM,308.0
119,Bacteroides-caccae-ATCC-43185-MAF-2,cysMcustom,361.1
120,Bacteroides-caccae-ATCC-43185-MAF-2,lcd,81.3
121,Bacteroides-caccae-ATCC-43185-MAF-2,lcdcustom,84.0
122,Bacteroides-caccae-ATCC-43185-MAF-2,malY,489.9
123,Bacteroides-caccae-ATCC-43185-MAF-2,malYcustom,593.1
124,Bacteroides-caccae-ATCC-43185-MAF-2,metC,117.6
125,Bacteroides-caccae-ATCC-43185-MAF-2,metCcustom,245.5
126,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysK,454.9
127,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysKcustom,543.0
128,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysM,309.8
129,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysMcustom,364.7
130,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcd,76.6
131,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcdcustom,85.4
132,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malY,478.5
133,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malYcustom,616.6
134,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metC,114.6
135,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metCcustom,244.2
136,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,tnaA,853.0
137,Bacteroides-coprophilus-DSM-18228-MAF-2,cysK,442.6
138,Bacteroides-coprophilus-DSM-18228-MAF-2,cysKcustom,526.6
139,Bacteroides-coprophilus-DSM-18228-MAF-2,cysM,313.8
140,Bacteroides-coprophilus-DSM-18228-MAF-2,cysMcustom,365.5
141,Bacteroides-coprophilus-DSM-18228-MAF-2,lcd,89.2
142,Bacteroides-coprophilus-DSM-18228-MAF-2,lcdcustom,97.6
143,Bacteroides-coprophilus-DSM-18228-MAF-2,malY,490.6
144,Bacteroides-coprophilus-DSM-18228-MAF-2,malYcustom,572.4
145,Bacteroides-coprophilus-DSM-18228-MAF-2,metC,115.0
146,Bacteroides-coprophilus-DSM-18228-MAF-2,metCcustom,249.9
147,Bacteroides-dorei-5-1-36-D4-MAF-2,cysK,444.9
148,Bacteroides-dorei-5-1-36-D4-MAF-2,cysKcustom,534.3
149,Bacteroides-dorei-5-1-36-D4-MAF-2,cysM,303.0
150,Bacteroides-dorei-5-1-36-D4-MAF-2,cysMcustom,357.5
151,Bacteroides-dorei-5-1-36-D4-MAF-2,lcd,84.8
152,Bacteroides-dorei-5-1-36-D4-MAF-2,lcdcustom,92.9
153,Bacteroides-dorei-5-1-36-D4-MAF-2,malY,464.8
154,Bacteroides-dorei-5-1-36-D4-MAF-2,malYcustom,601.0
155,Bacteroides-dorei-5-1-36-D4-MAF-2,metC,118.4
156,Bacteroides-dorei-5-1-36-D4-MAF-2,metCcustom,247.5
157,Bacteroides-dorei-DSM-17855-MAF-2,cysK,445.5
158,Bacteroides-dorei-DSM-17855-MAF-2,cysKcustom,534.7
159,Bacteroides-dorei-DSM-17855-MAF-2,cysM,302.9
160,Bacteroides-dorei-DSM-17855-MAF-2,cysMcustom,356.5
161,Bacteroides-dorei-DSM-17855-MAF-2,lcd,90.0
162,Bacteroides-dorei-DSM-17855-MAF-2,lcdcustom,97.7
163,Bacteroides-dorei-DSM-17855-MAF-2,malY,460.3
164,Bacteroides-dorei-DSM-17855-MAF-2,malYcustom,600.2
165,Bacteroides-dorei-DSM-17855-MAF-2,metC,118.4
166,Bacteroides-dorei-DSM-17855-MAF-2,metCcustom,247.5
167,Bacteroides-eggerthii-DSM-20697-MAF-2,cysK,455.4
168,Bacteroides-eggerthii-DSM-20697-MAF-2,cysKcustom,544.0
169,Bacteroides-eggerthii-DSM-20697-MAF-2,cysM,303.3
170,Bacteroides-eggerthii-DSM-20697-MAF-2,cysMcustom,354.9
171,Bacteroides-eggerthii-DSM-20697-MAF-2,lcd,87.6
172,Bacteroides-eggerthii-DSM-20697-MAF-2,lcdcustom,95.6
173,Bacteroides-eggerthii-DSM-20697-MAF-2,malY,472.6
174,Bacteroides-eggerthii-DSM-20697-MAF-2,malYcustom,570.2
175,Bacteroides-eggerthii-DSM-20697-MAF-2,metC,117.6
176,Bacteroides-eggerthii-DSM-20697-MAF-2,metCcustom,243.7
177,Bacteroides-eggerthii-DSM-20697-MAF-2,tnaA,851.5
178,Bacteroides-finegoldii-DSM-17565-MAF-2,cysK,459.6
179,Bacteroides-finegoldii-DSM-17565-MAF-2,cysKcustom,539.3
180,Bacteroides-finegoldii-DSM-17565-MAF-2,cysM,312.6
181,Bacteroides-finegoldii-DSM-17565-MAF-2,cysMcustom,360.3
182,Bacteroides-finegoldii-DSM-17565-MAF-2,lcd,72.4
183,Bacteroides-finegoldii-DSM-17565-MAF-2,lcdcustom,77.3
184,Bacteroides-finegoldii-DSM-17565-MAF-2,malY,479.7
185,Bacteroides-finegoldii-DSM-17565-MAF-2,malYcustom,568.7
186,Bacteroides-finegoldii-DSM-17565-MAF-2,metC,119.8
187,Bacteroides-finegoldii-DSM-17565-MAF-2,metCcustom,248.1
188,Bacteroides-fragilis-2-1-16-MAF-2,cysK,455.2
189,Bacteroides-fragilis-2-1-16-MAF-2,cysKcustom,539.8
190,Bacteroides-fragilis-2-1-16-MAF-2,cysM,313.7
191,Bacteroides-fragilis-2-1-16-MAF-2,cysMcustom,362.1
192,Bacteroides-fragilis-2-1-16-MAF-2,lcd,89.1
193,Bacteroides-fragilis-2-1-16-MAF-2,lcdcustom,95.0
194,Bacteroides-fragilis-2-1-16-MAF-2,malY,477.6
195,Bacteroides-fragilis-2-1-16-MAF-2,malYcustom,573.2
196,Bacteroides-fragilis-2-1-16-MAF-2,metC,130.5
197,Bacteroides-fragilis-2-1-16-MAF-2,metCcustom,276.2
198,Bacteroides-fragilis-3-1-12-MAF-2,cysK,456.3
199,Bacteroides-fragilis-3-1-12-MAF-2,cysKcustom,539.9
200,Bacteroides-fragilis-3-1-12-MAF-2,cysM,307.3
201,Bacteroides-fragilis-3-1-12-MAF-2,cysMcustom,359.3
202,Bacteroides-fragilis-3-1-12-MAF-2,lcd,88.6
203,Bacteroides-fragilis-3-1-12-MAF-2,lcdcustom,94.9
204,Bacteroides-fragilis-3-1-12-MAF-2,malY,483.4
205,Bacteroides-fragilis-3-1-12-MAF-2,malYcustom,595.3
206,Bacteroides-fragilis-3-1-12-MAF-2,metC,131.9
207,Bacteroides-fragilis-3-1-12-MAF-2,metCcustom,274.5
208,Bacteroides-intestinalis-DSM-17393-MAF-2,cysK,446.9
209,Bacteroides-intestinalis-DSM-17393-MAF-2,cysKcustom,535.0
210,Bacteroides-intestinalis-DSM-17393-MAF-2,cysM,297.7
211,Bacteroides-intestinalis-DSM-17393-MAF-2,cysMcustom,360.7
212,Bacteroides-intestinalis-DSM-17393-MAF-2,lcd,75.5
213,Bacteroides-intestinalis-DSM-17393-MAF-2,lcdcustom,83.5
214,Bacteroides-intestinalis-DSM-17393-MAF-2,malY,475.6
215,Bacteroides-intestinalis-DSM-17393-MAF-2,malYcustom,601.1
216,Bacteroides-intestinalis-DSM-17393-MAF-2,metC,116.7
217,Bacteroides-intestinalis-DSM-17393-MAF-2,metCcustom,240.4
218,Bacteroides-intestinalis-DSM-17393-MAF-2,tnaA,851.5
219,Bacteroides-ovatus-ATCC-8483-MAF-2,cysK,460.7
220,Bacteroides-ovatus-ATCC-8483-MAF-2,cysKcustom,542.9
221,Bacteroides-ovatus-ATCC-8483-MAF-2,cysM,312.5
222,Bacteroides-ovatus-ATCC-8483-MAF-2,cysMcustom,360.3
223,Bacteroides-ovatus-ATCC-8483-MAF-2,lcd,83.6
224,Bacteroides-ovatus-ATCC-8483-MAF-2,lcdcustom,86.4
225,Bacteroides-ovatus-ATCC-8483-MAF-2,malY,487.8
226,Bacteroides-ovatus-ATCC-8483-MAF-2,malYcustom,594.2
227,Bacteroides-ovatus-ATCC-8483-MAF-2,metC,128.1
228,Bacteroides-ovatus-ATCC-8483-MAF-2,metCcustom,276.1
229,Bacteroides-ovatus-ATCC-8483-MAF-2,tnaA,851.6
230,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysK,459.0
231,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysKcustom,533.7
232,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysM,306.5
233,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysMcustom,362.9
234,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcd,46.9
235,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcdcustom,49.5
236,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malY,156.0
237,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malYcustom,217.1
238,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metC,121.3
239,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metCcustom,320.1
240,Bacteroides-plebeius-DSM-17135-MAF-2,cysK,452.1
241,Bacteroides-plebeius-DSM-17135-MAF-2,cysKcustom,535.3
242,Bacteroides-plebeius-DSM-17135-MAF-2,cysM,300.4
243,Bacteroides-plebeius-DSM-17135-MAF-2,cysMcustom,365.2
244,Bacteroides-plebeius-DSM-17135-MAF-2,lcd,95.6
245,Bacteroides-plebeius-DSM-17135-MAF-2,lcdcustom,103.3
246,Bacteroides-plebeius-DSM-17135-MAF-2,malY,491.9
247,Bacteroides-plebeius-DSM-17135-MAF-2,malYcustom,601.0
248,Bacteroides-plebeius-DSM-17135-MAF-2,metC,116.1
249,Bacteroides-plebeius-DSM-17135-MAF-2,metCcustom,242.5
250,Bacteroides-rodentium-JCM-16496-MAF-2,cysK,465.5
251,Bacteroides-rodentium-JCM-16496-MAF-2,cysKcustom,558.1
252,Bacteroides-rodentium-JCM-16496-MAF-2,cysM,314.1
253,Bacteroides-rodentium-JCM-16496-MAF-2,cysMcustom,367.7
254,Bacteroides-rodentium-JCM-16496-MAF-2,lcd,88.6
255,Bacteroides-rodentium-JCM-16496-MAF-2,lcdcustom,96.9
256,Bacteroides-rodentium-JCM-16496-MAF-2,malY,484.2
257,Bacteroides-rodentium-JCM-16496-MAF-2,malYcustom,591.3
258,Bacteroides-rodentium-JCM-16496-MAF-2,metC,121.0
259,Bacteroides-rodentium-JCM-16496-MAF-2,metCcustom,247.1
260,Bacteroides-rodentium-JCM-16496-MAF-2,tnaA,860.2
261,Bacteroides-sp-3-1-19-MAF-2,cysK,453.5
262,Bacteroides-sp-3-1-19-MAF-2,cysKcustom,545.6
263,Bacteroides-sp-3-1-19-MAF-2,cysM,306.0
264,Bacteroides-sp-3-1-19-MAF-2,cysMcustom,358.4
265,Bacteroides-sp-3-1-19-MAF-2,lcd,88.1
266,Bacteroides-sp-3-1-19-MAF-2,lcdcustom,95.1
267,Bacteroides-sp-3-1-19-MAF-2,malY,486.9
268,Bacteroides-sp-3-1-19-MAF-2,malYcustom,590.4
269,Bacteroides-sp-3-1-19-MAF-2,metC,106.2
270,Bacteroides-sp-3-1-19-MAF-2,metCcustom,229.5
271,Bacteroides-sp-9-1-42FAA-MAF-2,cysK,444.9
272,Bacteroides-sp-9-1-42FAA-MAF-2,cysKcustom,534.3
273,Bacteroides-sp-9-1-42FAA-MAF-2,cysM,303.0
274,Bacteroides-sp-9-1-42FAA-MAF-2,cysMcustom,357.5
275,Bacteroides-sp-9-1-42FAA-MAF-2,lcd,85.3
276,Bacteroides-sp-9-1-42FAA-MAF-2,lcdcustom,93.2
277,Bacteroides-sp-9-1-42FAA-MAF-2,malY,464.7
278,Bacteroides-sp-9-1-42FAA-MAF-2,malYcustom,603.5
279,Bacteroides-sp-9-1-42FAA-MAF-2,metC,118.4
280,Bacteroides-sp-9-1-42FAA-MAF-2,metCcustom,247.5
281,Bacteroides-sp-D2-MAF-2,cysK,461.5
282,Bacteroides-sp-D2-MAF-2,cysKcustom,542.8
283,Bacteroides-sp-D2-MAF-2,cysM,312.8
284,Bacteroides-sp-D2-MAF-2,cysMcustom,360.6
285,Bacteroides-sp-D2-MAF-2,lcd,83.4
286,Bacteroides-sp-D2-MAF-2,lcdcustom,85.9
287,Bacteroides-sp-D2-MAF-2,malY,486.0
288,Bacteroides-sp-D2-MAF-2,malYcustom,573.0
289,Bacteroides-sp-D2-MAF-2,metC,130.3
290,Bacteroides-sp-D2-MAF-2,metCcustom,279.0
291,Bacteroides-sp-D2-MAF-2,tnaA,850.5
292,Bacteroides-stercoris-ATCC-43183-MAF-2,cysK,459.2
293,Bacteroides-stercoris-ATCC-43183-MAF-2,cysKcustom,545.4
294,Bacteroides-stercoris-ATCC-43183-MAF-2,cysM,308.6
295,Bacteroides-stercoris-ATCC-43183-MAF-2,cysMcustom,361.3
296,Bacteroides-stercoris-ATCC-43183-MAF-2,lcd,80.9
297,Bacteroides-stercoris-ATCC-43183-MAF-2,lcdcustom,91.7
298,Bacteroides-stercoris-ATCC-43183-MAF-2,malY,479.4
299,Bacteroides-stercoris-ATCC-43183-MAF-2,malYcustom,578.2
300,Bacteroides-stercoris-ATCC-43183-MAF-2,metC,118.5
301,Bacteroides-stercoris-ATCC-43183-MAF-2,metCcustom,247.3
302,Bacteroides-stercoris-ATCC-43183-MAF-2,tnaA,855.7
303,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysK,464.9
304,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysKcustom,546.1
305,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysM,312.7
306,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysMcustom,362.3
307,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcd,73.9
308,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcdcustom,76.3
309,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malY,491.1
310,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malYcustom,600.2
311,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metC,117.9
312,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metCcustom,242.9
313,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,tnaA,855.3
314,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysK,465.8
315,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysKcustom,546.7
316,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysM,312.3
317,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysMcustom,363.4
318,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcd,73.9
319,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcdcustom,76.3
320,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malY,490.2
321,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malYcustom,600.2
322,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metC,117.9
323,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metCcustom,245.1
324,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,tnaA,854.3
325,Bacteroides-uniformis-ATCC-8492-MAF-2,cysK,463.6
326,Bacteroides-uniformis-ATCC-8492-MAF-2,cysKcustom,555.3
327,Bacteroides-uniformis-ATCC-8492-MAF-2,cysM,315.9
328,Bacteroides-uniformis-ATCC-8492-MAF-2,cysMcustom,367.3
329,Bacteroides-uniformis-ATCC-8492-MAF-2,lcd,91.1
330,Bacteroides-uniformis-ATCC-8492-MAF-2,lcdcustom,98.8
331,Bacteroides-uniformis-ATCC-8492-MAF-2,malY,483.4
332,Bacteroides-uniformis-ATCC-8492-MAF-2,malYcustom,593.5
333,Bacteroides-uniformis-ATCC-8492-MAF-2,metC,121.0
334,Bacteroides-uniformis-ATCC-8492-MAF-2,metCcustom,246.2
335,Bacteroides-uniformis-ATCC-8492-MAF-2,tnaA,857.0
336,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysK,461.2
337,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysKcustom,543.6
338,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysM,314.2
339,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysMcustom,362.3
340,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcd,82.2
341,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcdcustom,84.7
342,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malY,489.7
343,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malYcustom,589.1
344,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metC,118.5
345,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metCcustom,247.8
346,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,tnaA,853.5
347,Bacteroides_fragilis,cysK,455.2
348,Bacteroides_fragilis,cysKcustom,539.8
349,Bacteroides_fragilis,cysM,313.7
350,Bacteroides_fragilis,cysMcustom,362.1
351,Bacteroides_fragilis,lcd,89.1
352,Bacteroides_fragilis,lcdcustom,95.0
353,Bacteroides_fragilis,malY,477.6
354,Bacteroides_fragilis,malYcustom,573.2
355,Bacteroides_fragilis,metC,130.5
356,Bacteroides_fragilis,metCcustom,276.2
357,Bacteroides_ovatus,cysK,460.7
358,Bacteroides_ovatus,cysKcustom,542.9
359,Bacteroides_ovatus,cysM,312.5
360,Bacteroides_ovatus,cysMcustom,360.3
361,Bacteroides_ovatus,lcd,83.6
362,Bacteroides_ovatus,lcdcustom,86.4
363,Bacteroides_ovatus,malY,487.8
364,Bacteroides_ovatus,malYcustom,594.2
365,Bacteroides_ovatus,metC,128.1
366,Bacteroides_ovatus,metCcustom,276.1
367,Bacteroides_ovatus,tnaA,851.6
368,Bacteroides_thetaiotaomicron,cysK,465.8
369,Bacteroides_thetaiotaomicron,cysKcustom,546.7
370,Bacteroides_thetaiotaomicron,cysM,312.3
371,Bacteroides_thetaiotaomicron,cysMcustom,363.4
372,Bacteroides_thetaiotaomicron,lcd,73.9
373,Bacteroides_thetaiotaomicron,lcdcustom,76.3
374,Bacteroides_thetaiotaomicron,malY,490.2
375,Bacteroides_thetaiotaomicron,malYcustom,600.2
376,Bacteroides_thetaiotaomicron,metC,117.9
377,Bacteroides_thetaiotaomicron,metCcustom,245.1
378,Bacteroides_thetaiotaomicron,tnaA,854.3
379,Bifidobacterium-adolescentis-L2-32-MAF-2,cysK,314.4
380,Bifidobacterium-adolescentis-L2-32-MAF-2,cysKcustom,419.7
381,Bifidobacterium-adolescentis-L2-32-MAF-2,cysM,259.7
382,Bifidobacterium-adolescentis-L2-32-MAF-2,cysMcustom,310.3
383,Bifidobacterium-adolescentis-L2-32-MAF-2,lcd,30.7
384,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdcustom,33.0
385,Bifidobacterium-adolescentis-L2-32-MAF-2,malY,385.8
386,Bifidobacterium-adolescentis-L2-32-MAF-2,malYcustom,528.6
387,Bifidobacterium-adolescentis-L2-32-MAF-2,metC,234.9
388,Bifidobacterium-adolescentis-L2-32-MAF-2,metCcustom,486.8
389,Bifidobacterium_adolescentis,cysK,314.9
390,Bifidobacterium_adolescentis,cysKcustom,420.4
391,Bifidobacterium_adolescentis,cysM,261.1
392,Bifidobacterium_adolescentis,cysMcustom,314.5
393,Bifidobacterium_adolescentis,lcd,27.5
394,Bifidobacterium_adolescentis,lcdcustom,30.0
395,Bifidobacterium_adolescentis,malY,383.5
396,Bifidobacterium_adolescentis,malYcustom,528.5
397,Bifidobacterium_adolescentis,metC,234.0
398,Bifidobacterium_adolescentis,metCcustom,486.7
399,Bifidobacterium_longum,cysK,303.7
400,Bifidobacterium_longum,cysKcustom,415.0
401,Bifidobacterium_longum,cysM,253.7
402,Bifidobacterium_longum,cysMcustom,306.7
403,Bifidobacterium_longum,lcd,25.2
404,Bifidobacterium_longum,lcdcustom,29.4
405,Bifidobacterium_longum,malY,294.0
