,strain,pHMM,hit_score
44,Alistipes-onderdonkii-DSM-19147-MAF-2,cysM,348.1
45,Alistipes-onderdonkii-DSM-19147-MAF-2,cysMcustom,431.4
46,Alistipes-onderdonkii-DSM-19147-MAF-2,lcd,48.3
47,Alistipes-onderdonkii-DSM-19147-MAF-2,lcdcustom,48.4
48,Alistipes-onderdonkii-DSM-19147-MAF-2,malY,474.0
49,Alistipes-onderdonkii-DSM-19147-MAF-2,malYcustom,604.1
50,Alistipes-onderdonkii-DSM-19147-MAF-2,metC,141.3
51,Alistipes-onderdonkii-DSM-19147-MAF-2,metCcustom,313.8
52,Alistipes-onderdonkii-DSM-19147-MAF-2,tnaA,847.2
53,Alistipes-putredinis-DSM-17216-MAF-2,cysK,41.4
54,Alistipes-putredinis-DSM-17216-MAF-2,cysKcustom,76.5
55,Alistipes-putredinis-DSM-17216-MAF-2,cysM,27.5
56,Alistipes-putredinis-DSM-17216-MAF-2,cysMcustom,42.2
57,Alistipes-putredinis-DSM-17216-MAF-2,lcd,46.9
58,Alistipes-putredinis-DSM-17216-MAF-2,lcdcustom,51.8
59,Alistipes-putredinis-DSM-17216-MAF-2,malY,295.2
60,Alistipes-putredinis-DSM-17216-MAF-2,malYcustom,390.4
61,Alistipes-putredinis-DSM-17216-MAF-2,metC,171.5
62,Alistipes-putredinis-DSM-17216-MAF-2,metCcustom,354.1
63,Alistipes-putredinis-DSM-17216-MAF-2,tnaA,841.3
64,Alistipes-senegalensis-JC50-MAF-2,cysK,431.7
65,Alistipes-senegalensis-JC50-MAF-2,cysKcustom,525.4
66,Alistipes-senegalensis-JC50-MAF-2,cysM,301.9
67,Alistipes-senegalensis-JC50-MAF-2,cysMcustom,355.9
68,Alistipes-senegalensis-JC50-MAF-2,lcd,41.3
69,Alistipes-senegalensis-JC50-MAF-2,lcdcustom,42.7
70,Alistipes-senegalensis-JC50-MAF-2,malY,441.4
71,Alistipes-senegalensis-JC50-MAF-2,malYcustom,587.3
72,Alistipes-senegalensis-JC50-MAF-2,metC,219.8
73,Alistipes-senegalensis-JC50-MAF-2,metCcustom,409.3
74,Alistipes-shahii-WAL-8301-MAF-2,cysK,313.4
75,Alistipes-shahii-WAL-8301-MAF-2,cysKcustom,392.6
76,Alistipes-shahii-WAL-8301-MAF-2,cysM,349.7
77,Alistipes-shahii-WAL-8301-MAF-2,cysMcustom,433.8
78,Alistipes-shahii-WAL-8301-MAF-2,lcd,39.2
79,Alistipes-shahii-WAL-8301-MAF-2,lcdcustom,46.9
80,Alistipes-shahii-WAL-8301-MAF-2,malY,431.7
81,Alistipes-shahii-WAL-8301-MAF-2,malYcustom,569.3
82,Alistipes-shahii-WAL-8301-MAF-2,metC,151.6
83,Alistipes-shahii-WAL-8301-MAF-2,metCcustom,317.7
84,Alistipes-shahii-WAL-8301-MAF-2,tnaA,843.7
85,Anaerobutyricum_hallii,cysK,455.3
86,Anaerobutyricum_hallii,cysKcustom,531.9
87,Anaerobutyricum_hallii,cysM,306.8
88,Anaerobutyricum_hallii,cysMcustom,363.3
89,Anaerobutyricum_hallii,lcd,41.7
90,Anaerobutyricum_hallii,lcdcustom,47.3
91,Anaerobutyricum_hallii,malY,160.8
92,Anaerobutyricum_hallii,malYcustom,221.5
93,Anaerobutyricum_hallii,metC,209.1
94,Anaerobutyricum_hallii,metCcustom,397.4
95,Anaerostipes-caccae-DSM-14662-MAF-2,cysK,470.6
96,Anaerostipes-caccae-DSM-14662-MAF-2,cysKcustom,555.8
97,Anaerostipes-caccae-DSM-14662-MAF-2,cysM,326.1
98,Anaerostipes-caccae-DSM-14662-MAF-2,cysMcustom,380.7
99,Anaerostipes-caccae-DSM-14662-MAF-2,lcd,33.3
100,Anaerostipes-caccae-DSM-14662-MAF-2,lcdcustom,31.8
101,Anaerostipes-caccae-DSM-14662-MAF-2,malY,155.7
102,Anaerostipes-caccae-DSM-14662-MAF-2,malYcustom,219.6
103,Anaerostipes-caccae-DSM-14662-MAF-2,metC,189.5
104,Anaerostipes-caccae-DSM-14662-MAF-2,metCcustom,385.9
105,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysK,474.5
106,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysKcustom,553.3
107,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysM,317.3
108,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysMcustom,378.9
109,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcd,70.6
110,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcdcustom,75.6
111,Anaerotruncus-colihominis-DSM-17241-MAF-2,malY,427.8
112,Anaerotruncus-colihominis-DSM-17241-MAF-2,malYcustom,527.9
113,Anaerotruncus-colihominis-DSM-17241-MAF-2,metC,235.6
114,Anaerotruncus-colihominis-DSM-17241-MAF-2,metCcustom,413.2
115,Anaerotruncus-colihominis-DSM-17241-MAF-2,tnaA,770.3
116,Bacteroides-caccae-ATCC-43185-MAF-2,cysK,461.7
117,Bacteroides-caccae-ATCC-43185-MAF-2,cysKcustom,542.8
118,Bacteroides-caccae-ATCC-43185-MAF-2,cysM,308.2
119,Bacteroides-caccae-ATCC-43185-MAF-2,cysMcustom,361.3
120,Bacteroides-caccae-ATCC-43185-MAF-2,lcd,85.5
121,Bacteroides-caccae-ATCC-43185-MAF-2,lcdcustom,85.2
122,Bacteroides-caccae-ATCC-43185-MAF-2,malY,490.1
123,Bacteroides-caccae-ATCC-43185-MAF-2,malYcustom,593.3
124,Bacteroides-caccae-ATCC-43185-MAF-2,metC,221.4
125,Bacteroides-caccae-ATCC-43185-MAF-2,metCcustom,409.2
126,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysK,455.1
127,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysKcustom,543.3
128,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysM,310.0
129,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysMcustom,365.0
130,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcd,79.4
131,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcdcustom,86.4
132,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malY,478.7
133,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malYcustom,616.7
134,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metC,207.6
135,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metCcustom,402.0
136,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,tnaA,853.2
137,Bacteroides-coprophilus-DSM-18228-MAF-2,cysK,442.8
138,Bacteroides-coprophilus-DSM-18228-MAF-2,cysKcustom,526.9
139,Bacteroides-coprophilus-DSM-18228-MAF-2,cysM,314.0
140,Bacteroides-coprophilus-DSM-18228-MAF-2,cysMcustom,365.7
141,Bacteroides-coprophilus-DSM-18228-MAF-2,lcd,89.8
142,Bacteroides-coprophilus-DSM-18228-MAF-2,lcdcustom,98.0
143,Bacteroides-coprophilus-DSM-18228-MAF-2,malY,490.8
144,Bacteroides-coprophilus-DSM-18228-MAF-2,malYcustom,572.5
145,Bacteroides-coprophilus-DSM-18228-MAF-2,metC,219.7
146,Bacteroides-coprophilus-DSM-18228-MAF-2,metCcustom,398.9
147,Bacteroides-dorei-5-1-36-D4-MAF-2,cysK,445.1
148,Bacteroides-dorei-5-1-36-D4-MAF-2,cysKcustom,534.4
149,Bacteroides-dorei-5-1-36-D4-MAF-2,cysM,303.2
150,Bacteroides-dorei-5-1-36-D4-MAF-2,cysMcustom,357.7
151,Bacteroides-dorei-5-1-36-D4-MAF-2,lcd,86.7
152,Bacteroides-dorei-5-1-36-D4-MAF-2,lcdcustom,93.5
153,Bacteroides-dorei-5-1-36-D4-MAF-2,malY,465.0
154,Bacteroides-dorei-5-1-36-D4-MAF-2,malYcustom,601.2
155,Bacteroides-dorei-5-1-36-D4-MAF-2,metC,223.3
156,Bacteroides-dorei-5-1-36-D4-MAF-2,metCcustom,407.0
157,Bacteroides-dorei-DSM-17855-MAF-2,cysK,445.7
158,Bacteroides-dorei-DSM-17855-MAF-2,cysKcustom,534.8
159,Bacteroides-dorei-DSM-17855-MAF-2,cysM,303.1
160,Bacteroides-dorei-DSM-17855-MAF-2,cysMcustom,356.7
161,Bacteroides-dorei-DSM-17855-MAF-2,lcd,91.1
162,Bacteroides-dorei-DSM-17855-MAF-2,lcdcustom,98.1
163,Bacteroides-dorei-DSM-17855-MAF-2,malY,460.5
164,Bacteroides-dorei-DSM-17855-MAF-2,malYcustom,600.4
165,Bacteroides-dorei-DSM-17855-MAF-2,metC,223.3
166,Bacteroides-dorei-DSM-17855-MAF-2,metCcustom,407.0
167,Bacteroides-eggerthii-DSM-20697-MAF-2,cysK,455.6
168,Bacteroides-eggerthii-DSM-20697-MAF-2,cysKcustom,544.2
169,Bacteroides-eggerthii-DSM-20697-MAF-2,cysM,303.5
170,Bacteroides-eggerthii-DSM-20697-MAF-2,cysMcustom,355.1
171,Bacteroides-eggerthii-DSM-20697-MAF-2,lcd,89.6
172,Bacteroides-eggerthii-DSM-20697-MAF-2,lcdcustom,96.2
173,Bacteroides-eggerthii-DSM-20697-MAF-2,malY,472.8
174,Bacteroides-eggerthii-DSM-20697-MAF-2,malYcustom,570.4
175,Bacteroides-eggerthii-DSM-20697-MAF-2,metC,211.5
176,Bacteroides-eggerthii-DSM-20697-MAF-2,metCcustom,399.6
177,Bacteroides-eggerthii-DSM-20697-MAF-2,tnaA,851.7
178,Bacteroides-finegoldii-DSM-17565-MAF-2,cysK,459.8
179,Bacteroides-finegoldii-DSM-17565-MAF-2,cysKcustom,539.5
180,Bacteroides-finegoldii-DSM-17565-MAF-2,cysM,312.8
181,Bacteroides-finegoldii-DSM-17565-MAF-2,cysMcustom,360.6
182,Bacteroides-finegoldii-DSM-17565-MAF-2,lcd,77.6
183,Bacteroides-finegoldii-DSM-17565-MAF-2,lcdcustom,78.8
184,Bacteroides-finegoldii-DSM-17565-MAF-2,malY,479.9
185,Bacteroides-finegoldii-DSM-17565-MAF-2,malYcustom,568.8
186,Bacteroides-finegoldii-DSM-17565-MAF-2,metC,220.3
187,Bacteroides-finegoldii-DSM-17565-MAF-2,metCcustom,413.0
188,Bacteroides-fragilis-2-1-16-MAF-2,cysK,455.4
189,Bacteroides-fragilis-2-1-16-MAF-2,cysKcustom,539.9
190,Bacteroides-fragilis-2-1-16-MAF-2,cysM,313.9
191,Bacteroides-fragilis-2-1-16-MAF-2,cysMcustom,362.4
192,Bacteroides-fragilis-2-1-16-MAF-2,lcd,91.0
193,Bacteroides-fragilis-2-1-16-MAF-2,lcdcustom,95.6
194,Bacteroides-fragilis-2-1-16-MAF-2,malY,477.8
195,Bacteroides-fragilis-2-1-16-MAF-2,malYcustom,573.5
196,Bacteroides-fragilis-2-1-16-MAF-2,metC,216.6
197,Bacteroides-fragilis-2-1-16-MAF-2,metCcustom,398.1
198,Bacteroides-fragilis-3-1-12-MAF-2,cysK,456.4
199,Bacteroides-fragilis-3-1-12-MAF-2,cysKcustom,540.1
200,Bacteroides-fragilis-3-1-12-MAF-2,cysM,307.5
201,Bacteroides-fragilis-3-1-12-MAF-2,cysMcustom,359.6
202,Bacteroides-fragilis-3-1-12-MAF-2,lcd,89.8
203,Bacteroides-fragilis-3-1-12-MAF-2,lcdcustom,95.4
204,Bacteroides-fragilis-3-1-12-MAF-2,malY,483.6
205,Bacteroides-fragilis-3-1-12-MAF-2,malYcustom,595.6
206,Bacteroides-fragilis-3-1-12-MAF-2,metC,212.4
207,Bacteroides-fragilis-3-1-12-MAF-2,metCcustom,395.8
208,Bacteroides-intestinalis-DSM-17393-MAF-2,cysK,447.1
209,Bacteroides-intestinalis-DSM-17393-MAF-2,cysKcustom,535.1
210,Bacteroides-intestinalis-DSM-17393-MAF-2,cysM,297.9
211,Bacteroides-intestinalis-DSM-17393-MAF-2,cysMcustom,361.0
212,Bacteroides-intestinalis-DSM-17393-MAF-2,lcd,77.9
213,Bacteroides-intestinalis-DSM-17393-MAF-2,lcdcustom,84.4
214,Bacteroides-intestinalis-DSM-17393-MAF-2,malY,475.8
215,Bacteroides-intestinalis-DSM-17393-MAF-2,malYcustom,601.3
216,Bacteroides-intestinalis-DSM-17393-MAF-2,metC,212.6
217,Bacteroides-intestinalis-DSM-17393-MAF-2,metCcustom,398.8
218,Bacteroides-intestinalis-DSM-17393-MAF-2,tnaA,851.6
219,Bacteroides-ovatus-ATCC-8483-MAF-2,cysK,460.9
220,Bacteroides-ovatus-ATCC-8483-MAF-2,cysKcustom,543.0
221,Bacteroides-ovatus-ATCC-8483-MAF-2,cysM,312.7
222,Bacteroides-ovatus-ATCC-8483-MAF-2,cysMcustom,360.5
223,Bacteroides-ovatus-ATCC-8483-MAF-2,lcd,88.2
224,Bacteroides-ovatus-ATCC-8483-MAF-2,lcdcustom,87.6
225,Bacteroides-ovatus-ATCC-8483-MAF-2,malY,488.0
226,Bacteroides-ovatus-ATCC-8483-MAF-2,malYcustom,594.4
227,Bacteroides-ovatus-ATCC-8483-MAF-2,metC,220.3
228,Bacteroides-ovatus-ATCC-8483-MAF-2,metCcustom,412.7
229,Bacteroides-ovatus-ATCC-8483-MAF-2,tnaA,851.9
230,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysK,459.2
231,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysKcustom,533.8
232,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysM,306.7
233,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysMcustom,363.2
234,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcd,50.5
235,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcdcustom,51.9
236,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malY,156.3
237,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malYcustom,217.4
238,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metC,200.4
239,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metCcustom,396.3
240,Bacteroides-plebeius-DSM-17135-MAF-2,cysK,452.3
241,Bacteroides-plebeius-DSM-17135-MAF-2,cysKcustom,535.4
242,Bacteroides-plebeius-DSM-17135-MAF-2,cysM,300.6
243,Bacteroides-plebeius-DSM-17135-MAF-2,cysMcustom,365.4
244,Bacteroides-plebeius-DSM-17135-MAF-2,lcd,98.4
245,Bacteroides-plebeius-DSM-17135-MAF-2,lcdcustom,104.2
246,Bacteroides-plebeius-DSM-17135-MAF-2,malY,492.0
247,Bacteroides-plebeius-DSM-17135-MAF-2,malYcustom,601.2
248,Bacteroides-plebeius-DSM-17135-MAF-2,metC,214.4
249,Bacteroides-plebeius-DSM-17135-MAF-2,metCcustom,396.0
250,Bacteroides-rodentium-JCM-16496-MAF-2,cysK,465.6
251,Bacteroides-rodentium-JCM-16496-MAF-2,cysKcustom,558.2
252,Bacteroides-rodentium-JCM-16496-MAF-2,cysM,314.3
253,Bacteroides-rodentium-JCM-16496-MAF-2,cysMcustom,367.9
254,Bacteroides-rodentium-JCM-16496-MAF-2,lcd,90.6
255,Bacteroides-rodentium-JCM-16496-MAF-2,lcdcustom,97.6
256,Bacteroides-rodentium-JCM-16496-MAF-2,malY,484.4
257,Bacteroides-rodentium-JCM-16496-MAF-2,malYcustom,591.5
258,Bacteroides-rodentium-JCM-16496-MAF-2,metC,216.1
259,Bacteroides-rodentium-JCM-16496-MAF-2,metCcustom,404.3
260,Bacteroides-rodentium-JCM-16496-MAF-2,tnaA,860.4
261,Bacteroides-sp-3-1-19-MAF-2,cysK,453.7
262,Bacteroides-sp-3-1-19-MAF-2,cysKcustom,545.7
263,Bacteroides-sp-3-1-19-MAF-2,cysM,306.2
264,Bacteroides-sp-3-1-19-MAF-2,cysMcustom,358.6
265,Bacteroides-sp-3-1-19-MAF-2,lcd,91.1
266,Bacteroides-sp-3-1-19-MAF-2,lcdcustom,96.5
267,Bacteroides-sp-3-1-19-MAF-2,malY,487.1
268,Bacteroides-sp-3-1-19-MAF-2,malYcustom,590.7
269,Bacteroides-sp-3-1-19-MAF-2,metC,201.6
270,Bacteroides-sp-3-1-19-MAF-2,metCcustom,389.2
271,Bacteroides-sp-9-1-42FAA-MAF-2,cysK,445.1
272,Bacteroides-sp-9-1-42FAA-MAF-2,cysKcustom,534.4
273,Bacteroides-sp-9-1-42FAA-MAF-2,cysM,303.2
274,Bacteroides-sp-9-1-42FAA-MAF-2,cysMcustom,357.7
275,Bacteroides-sp-9-1-42FAA-MAF-2,lcd,87.2
276,Bacteroides-sp-9-1-42FAA-MAF-2,lcdcustom,93.8
277,Bacteroides-sp-9-1-42FAA-MAF-2,malY,464.9
278,Bacteroides-sp-9-1-42FAA-MAF-2,malYcustom,603.7
279,Bacteroides-sp-9-1-42FAA-MAF-2,metC,223.3
280,Bacteroides-sp-9-1-42FAA-MAF-2,metCcustom,407.0
281,Bacteroides-sp-D2-MAF-2,cysK,461.7
282,Bacteroides-sp-D2-MAF-2,cysKcustom,542.9
283,Bacteroides-sp-D2-MAF-2,cysM,313.0
284,Bacteroides-sp-D2-MAF-2,cysMcustom,360.8
285,Bacteroides-sp-D2-MAF-2,lcd,87.5
286,Bacteroides-sp-D2-MAF-2,lcdcustom,87.1
287,Bacteroides-sp-D2-MAF-2,malY,486.1
288,Bacteroides-sp-D2-MAF-2,malYcustom,573.2
289,Bacteroides-sp-D2-MAF-2,metC,220.3
290,Bacteroides-sp-D2-MAF-2,metCcustom,412.7
291,Bacteroides-sp-D2-MAF-2,tnaA,850.8
292,Bacteroides-stercoris-ATCC-43183-MAF-2,cysK,459.4
293,Bacteroides-stercoris-ATCC-43183-MAF-2,cysKcustom,545.5
294,Bacteroides-stercoris-ATCC-43183-MAF-2,cysM,308.8
295,Bacteroides-stercoris-ATCC-43183-MAF-2,cysMcustom,361.5
296,Bacteroides-stercoris-ATCC-43183-MAF-2,lcd,83.0
297,Bacteroides-stercoris-ATCC-43183-MAF-2,lcdcustom,92.4
298,Bacteroides-stercoris-ATCC-43183-MAF-2,malY,479.5
299,Bacteroides-stercoris-ATCC-43183-MAF-2,malYcustom,578.3
300,Bacteroides-stercoris-ATCC-43183-MAF-2,metC,214.7
301,Bacteroides-stercoris-ATCC-43183-MAF-2,metCcustom,407.0
302,Bacteroides-stercoris-ATCC-43183-MAF-2,tnaA,855.8
303,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysK,465.1
304,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysKcustom,546.2
305,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysM,312.9
306,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysMcustom,362.6
307,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcd,77.6
308,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcdcustom,77.7
309,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malY,491.3
310,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malYcustom,600.4
311,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metC,215.1
312,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metCcustom,408.2
313,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,tnaA,855.4
314,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysK,466.0
315,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysKcustom,546.8
316,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysM,312.5
317,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysMcustom,363.6
318,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcd,77.6
319,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcdcustom,77.7
320,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malY,490.4
321,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malYcustom,600.4
322,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metC,216.6
323,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metCcustom,410.4
324,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,tnaA,854.5
325,Bacteroides-uniformis-ATCC-8492-MAF-2,cysK,463.8
326,Bacteroides-uniformis-ATCC-8492-MAF-2,cysKcustom,555.4
327,Bacteroides-uniformis-ATCC-8492-MAF-2,cysM,316.1
328,Bacteroides-uniformis-ATCC-8492-MAF-2,cysMcustom,367.5
329,Bacteroides-uniformis-ATCC-8492-MAF-2,lcd,93.1
330,Bacteroides-uniformis-ATCC-8492-MAF-2,lcdcustom,99.4
331,Bacteroides-uniformis-ATCC-8492-MAF-2,malY,483.5
332,Bacteroides-uniformis-ATCC-8492-MAF-2,malYcustom,593.7
333,Bacteroides-uniformis-ATCC-8492-MAF-2,metC,211.6
334,Bacteroides-uniformis-ATCC-8492-MAF-2,metCcustom,401.6
335,Bacteroides-uniformis-ATCC-8492-MAF-2,tnaA,857.2
336,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysK,461.3
337,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysKcustom,543.8
338,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysM,314.4
339,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysMcustom,362.5
340,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcd,85.3
341,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcdcustom,85.7
342,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malY,489.9
343,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malYcustom,589.3
344,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metC,220.3
345,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metCcustom,412.7
346,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,tnaA,853.6
347,Bacteroides_fragilis,cysK,455.4
348,Bacteroides_fragilis,cysKcustom,539.9
349,Bacteroides_fragilis,cysM,313.9
350,Bacteroides_fragilis,cysMcustom,362.4
351,Bacteroides_fragilis,lcd,91.0
352,Bacteroides_fragilis,lcdcustom,95.6
353,Bacteroides_fragilis,malY,477.8
354,Bacteroides_fragilis,malYcustom,573.5
355,Bacteroides_fragilis,metC,216.6
356,Bacteroides_fragilis,metCcustom,398.1
357,Bacteroides_ovatus,cysK,460.9
358,Bacteroides_ovatus,cysKcustom,543.0
359,Bacteroides_ovatus,cysM,312.7
360,Bacteroides_ovatus,cysMcustom,360.5
361,Bacteroides_ovatus,lcd,88.2
362,Bacteroides_ovatus,lcdcustom,87.6
363,Bacteroides_ovatus,malY,488.0
364,Bacteroides_ovatus,malYcustom,594.4
365,Bacteroides_ovatus,metC,220.3
366,Bacteroides_ovatus,metCcustom,412.7
367,Bacteroides_ovatus,tnaA,851.9
368,Bacteroides_thetaiotaomicron,cysK,466.0
369,Bacteroides_thetaiotaomicron,cysKcustom,546.8
370,Bacteroides_thetaiotaomicron,cysM,312.5
371,Bacteroides_thetaiotaomicron,cysMcustom,363.6
372,Bacteroides_thetaiotaomicron,lcd,77.6
373,Bacteroides_thetaiotaomicron,lcdcustom,77.7
374,Bacteroides_thetaiotaomicron,malY,490.4
375,Bacteroides_thetaiotaomicron,malYcustom,600.4
376,Bacteroides_thetaiotaomicron,metC,216.6
377,Bacteroides_thetaiotaomicron,metCcustom,410.4
378,Bacteroides_thetaiotaomicron,tnaA,854.5
379,Bifidobacterium-adolescentis-L2-32-MAF-2,cysK,314.7
380,Bifidobacterium-adolescentis-L2-32-MAF-2,cysKcustom,419.9
381,Bifidobacterium-adolescentis-L2-32-MAF-2,cysM,260.0
382,Bifidobacterium-adolescentis-L2-32-MAF-2,cysMcustom,310.8
383,Bifidobacterium-adolescentis-L2-32-MAF-2,lcd,34.0
384,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdcustom,36.5
385,Bifidobacterium-adolescentis-L2-32-MAF-2,malY,385.9
386,Bifidobacterium-adolescentis-L2-32-MAF-2,malYcustom,528.8
387,Bifidobacterium-adolescentis-L2-32-MAF-2,metC,235.1
388,Bifidobacterium-adolescentis-L2-32-MAF-2,metCcustom,486.9
389,Bifidobacterium_adolescentis,cysK,315.2
390,Bifidobacterium_adolescentis,cysKcustom,420.6
391,Bifidobacterium_adolescentis,cysM,261.4
392,Bifidobacterium_adolescentis,cysMcustom,315.0
393,Bifidobacterium_adolescentis,lcd,31.0
394,Bifidobacterium_adolescentis,lcdcustom,33.6
395,Bifidobacterium_adolescentis,malY,383.7
396,Bifidobacterium_adolescentis,malYcustom,528.7
397,Bifidobacterium_adolescentis,metC,234.2
398,Bifidobacterium_adolescentis,metCcustom,486.9
399,Bifidobacterium_longum,cysK,303.9
400,Bifidobacterium_longum,cysKcustom,415.3
401,Bifidobacterium_longum,cysM,254.0
402,Bifidobacterium_longum,cysMcustom,307.7
403,Bifidobacterium_longum,lcd,28.2
404,Bifidobacterium_longum,lcdcustom,32.0
405,Bifidobacterium_longum,malY,294.1
