,strain,pHMM,hsp_len
66,Alistipes-senegalensis-JC50-MAF-2,cysM,301
67,Alistipes-senegalensis-JC50-MAF-2,cysMcustom,308
68,Alistipes-senegalensis-JC50-MAF-2,lcd,347
69,Alistipes-senegalensis-JC50-MAF-2,lcdcustom,214
70,Alistipes-senegalensis-JC50-MAF-2,malY,380
71,Alistipes-senegalensis-JC50-MAF-2,malYcustom,386
72,Alistipes-senegalensis-JC50-MAF-2,metC,212
73,Alistipes-senegalensis-JC50-MAF-2,metCcustom,218
74,Alistipes-shahii-WAL-8301-MAF-2,cysK,288
75,Alistipes-shahii-WAL-8301-MAF-2,cysKcustom,363
76,Alistipes-shahii-WAL-8301-MAF-2,cysM,291
77,Alistipes-shahii-WAL-8301-MAF-2,cysMcustom,296
78,Alistipes-shahii-WAL-8301-MAF-2,lcd,380
79,Alistipes-shahii-WAL-8301-MAF-2,lcdcustom,214
80,Alistipes-shahii-WAL-8301-MAF-2,malY,380
81,Alistipes-shahii-WAL-8301-MAF-2,malYcustom,385
82,Alistipes-shahii-WAL-8301-MAF-2,metC,214
83,Alistipes-shahii-WAL-8301-MAF-2,metCcustom,219
84,Alistipes-shahii-WAL-8301-MAF-2,tnaA,455
85,Anaerobutyricum_hallii,cysK,329
86,Anaerobutyricum_hallii,cysKcustom,347
87,Anaerobutyricum_hallii,cysM,301
88,Anaerobutyricum_hallii,cysMcustom,305
89,Anaerobutyricum_hallii,lcd,190
90,Anaerobutyricum_hallii,lcdcustom,332
91,Anaerobutyricum_hallii,malY,353
92,Anaerobutyricum_hallii,malYcustom,394
93,Anaerobutyricum_hallii,metC,210
94,Anaerobutyricum_hallii,metCcustom,422
95,Anaerostipes-caccae-DSM-14662-MAF-2,cysK,300
96,Anaerostipes-caccae-DSM-14662-MAF-2,cysKcustom,326
97,Anaerostipes-caccae-DSM-14662-MAF-2,cysM,301
98,Anaerostipes-caccae-DSM-14662-MAF-2,cysMcustom,304
99,Anaerostipes-caccae-DSM-14662-MAF-2,lcd,76
100,Anaerostipes-caccae-DSM-14662-MAF-2,lcdcustom,80
101,Anaerostipes-caccae-DSM-14662-MAF-2,malY,381
102,Anaerostipes-caccae-DSM-14662-MAF-2,malYcustom,381
103,Anaerostipes-caccae-DSM-14662-MAF-2,metC,229
104,Anaerostipes-caccae-DSM-14662-MAF-2,metCcustom,223
105,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysK,321
106,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysKcustom,345
107,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysM,300
108,Anaerotruncus-colihominis-DSM-17241-MAF-2,cysMcustom,309
109,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcd,333
110,Anaerotruncus-colihominis-DSM-17241-MAF-2,lcdcustom,335
111,Anaerotruncus-colihominis-DSM-17241-MAF-2,malY,380
112,Anaerotruncus-colihominis-DSM-17241-MAF-2,malYcustom,387
113,Anaerotruncus-colihominis-DSM-17241-MAF-2,metC,331
114,Anaerotruncus-colihominis-DSM-17241-MAF-2,metCcustom,362
115,Anaerotruncus-colihominis-DSM-17241-MAF-2,tnaA,538
116,Bacteroides-caccae-ATCC-43185-MAF-2,cysK,332
117,Bacteroides-caccae-ATCC-43185-MAF-2,cysKcustom,354
118,Bacteroides-caccae-ATCC-43185-MAF-2,cysM,301
119,Bacteroides-caccae-ATCC-43185-MAF-2,cysMcustom,305
120,Bacteroides-caccae-ATCC-43185-MAF-2,lcd,261
121,Bacteroides-caccae-ATCC-43185-MAF-2,lcdcustom,336
122,Bacteroides-caccae-ATCC-43185-MAF-2,malY,385
123,Bacteroides-caccae-ATCC-43185-MAF-2,malYcustom,388
124,Bacteroides-caccae-ATCC-43185-MAF-2,metC,214
125,Bacteroides-caccae-ATCC-43185-MAF-2,metCcustom,219
126,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysK,332
127,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysKcustom,363
128,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysM,301
129,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,cysMcustom,307
130,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcd,373
131,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,lcdcustom,374
132,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malY,385
133,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,malYcustom,391
134,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metC,211
135,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,metCcustom,220
136,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,tnaA,454
137,Bacteroides-coprophilus-DSM-18228-MAF-2,cysK,332
138,Bacteroides-coprophilus-DSM-18228-MAF-2,cysKcustom,360
139,Bacteroides-coprophilus-DSM-18228-MAF-2,cysM,301
140,Bacteroides-coprophilus-DSM-18228-MAF-2,cysMcustom,305
141,Bacteroides-coprophilus-DSM-18228-MAF-2,lcd,296
142,Bacteroides-coprophilus-DSM-18228-MAF-2,lcdcustom,378
143,Bacteroides-coprophilus-DSM-18228-MAF-2,malY,382
144,Bacteroides-coprophilus-DSM-18228-MAF-2,malYcustom,387
145,Bacteroides-coprophilus-DSM-18228-MAF-2,metC,212
146,Bacteroides-coprophilus-DSM-18228-MAF-2,metCcustom,219
147,Bacteroides-dorei-5-1-36-D4-MAF-2,cysK,332
148,Bacteroides-dorei-5-1-36-D4-MAF-2,cysKcustom,355
149,Bacteroides-dorei-5-1-36-D4-MAF-2,cysM,301
150,Bacteroides-dorei-5-1-36-D4-MAF-2,cysMcustom,305
151,Bacteroides-dorei-5-1-36-D4-MAF-2,lcd,374
152,Bacteroides-dorei-5-1-36-D4-MAF-2,lcdcustom,376
153,Bacteroides-dorei-5-1-36-D4-MAF-2,malY,382
154,Bacteroides-dorei-5-1-36-D4-MAF-2,malYcustom,387
155,Bacteroides-dorei-5-1-36-D4-MAF-2,metC,213
156,Bacteroides-dorei-5-1-36-D4-MAF-2,metCcustom,221
157,Bacteroides-dorei-DSM-17855-MAF-2,cysK,332
158,Bacteroides-dorei-DSM-17855-MAF-2,cysKcustom,355
159,Bacteroides-dorei-DSM-17855-MAF-2,cysM,301
160,Bacteroides-dorei-DSM-17855-MAF-2,cysMcustom,305
161,Bacteroides-dorei-DSM-17855-MAF-2,lcd,376
162,Bacteroides-dorei-DSM-17855-MAF-2,lcdcustom,376
163,Bacteroides-dorei-DSM-17855-MAF-2,malY,385
164,Bacteroides-dorei-DSM-17855-MAF-2,malYcustom,387
165,Bacteroides-dorei-DSM-17855-MAF-2,metC,213
166,Bacteroides-dorei-DSM-17855-MAF-2,metCcustom,221
167,Bacteroides-eggerthii-DSM-20697-MAF-2,cysK,331
168,Bacteroides-eggerthii-DSM-20697-MAF-2,cysKcustom,354
169,Bacteroides-eggerthii-DSM-20697-MAF-2,cysM,301
170,Bacteroides-eggerthii-DSM-20697-MAF-2,cysMcustom,306
171,Bacteroides-eggerthii-DSM-20697-MAF-2,lcd,299
172,Bacteroides-eggerthii-DSM-20697-MAF-2,lcdcustom,373
173,Bacteroides-eggerthii-DSM-20697-MAF-2,malY,384
174,Bacteroides-eggerthii-DSM-20697-MAF-2,malYcustom,390
175,Bacteroides-eggerthii-DSM-20697-MAF-2,metC,212
176,Bacteroides-eggerthii-DSM-20697-MAF-2,metCcustom,221
177,Bacteroides-eggerthii-DSM-20697-MAF-2,tnaA,454
178,Bacteroides-finegoldii-DSM-17565-MAF-2,cysK,331
179,Bacteroides-finegoldii-DSM-17565-MAF-2,cysKcustom,354
180,Bacteroides-finegoldii-DSM-17565-MAF-2,cysM,301
181,Bacteroides-finegoldii-DSM-17565-MAF-2,cysMcustom,305
182,Bacteroides-finegoldii-DSM-17565-MAF-2,lcd,253
183,Bacteroides-finegoldii-DSM-17565-MAF-2,lcdcustom,338
184,Bacteroides-finegoldii-DSM-17565-MAF-2,malY,385
185,Bacteroides-finegoldii-DSM-17565-MAF-2,malYcustom,388
186,Bacteroides-finegoldii-DSM-17565-MAF-2,metC,213
187,Bacteroides-finegoldii-DSM-17565-MAF-2,metCcustom,221
188,Bacteroides-fragilis-2-1-16-MAF-2,cysK,332
189,Bacteroides-fragilis-2-1-16-MAF-2,cysKcustom,358
190,Bacteroides-fragilis-2-1-16-MAF-2,cysM,301
191,Bacteroides-fragilis-2-1-16-MAF-2,cysMcustom,305
192,Bacteroides-fragilis-2-1-16-MAF-2,lcd,376
193,Bacteroides-fragilis-2-1-16-MAF-2,lcdcustom,374
194,Bacteroides-fragilis-2-1-16-MAF-2,malY,385
195,Bacteroides-fragilis-2-1-16-MAF-2,malYcustom,388
196,Bacteroides-fragilis-2-1-16-MAF-2,metC,402
197,Bacteroides-fragilis-2-1-16-MAF-2,metCcustom,408
198,Bacteroides-fragilis-3-1-12-MAF-2,cysK,332
199,Bacteroides-fragilis-3-1-12-MAF-2,cysKcustom,358
200,Bacteroides-fragilis-3-1-12-MAF-2,cysM,301
201,Bacteroides-fragilis-3-1-12-MAF-2,cysMcustom,305
202,Bacteroides-fragilis-3-1-12-MAF-2,lcd,376
203,Bacteroides-fragilis-3-1-12-MAF-2,lcdcustom,373
204,Bacteroides-fragilis-3-1-12-MAF-2,malY,386
205,Bacteroides-fragilis-3-1-12-MAF-2,malYcustom,389
206,Bacteroides-fragilis-3-1-12-MAF-2,metC,402
207,Bacteroides-fragilis-3-1-12-MAF-2,metCcustom,408
208,Bacteroides-intestinalis-DSM-17393-MAF-2,cysK,332
209,Bacteroides-intestinalis-DSM-17393-MAF-2,cysKcustom,363
210,Bacteroides-intestinalis-DSM-17393-MAF-2,cysM,301
211,Bacteroides-intestinalis-DSM-17393-MAF-2,cysMcustom,306
212,Bacteroides-intestinalis-DSM-17393-MAF-2,lcd,375
213,Bacteroides-intestinalis-DSM-17393-MAF-2,lcdcustom,371
214,Bacteroides-intestinalis-DSM-17393-MAF-2,malY,385
215,Bacteroides-intestinalis-DSM-17393-MAF-2,malYcustom,386
216,Bacteroides-intestinalis-DSM-17393-MAF-2,metC,212
217,Bacteroides-intestinalis-DSM-17393-MAF-2,metCcustom,219
218,Bacteroides-intestinalis-DSM-17393-MAF-2,tnaA,454
219,Bacteroides-ovatus-ATCC-8483-MAF-2,cysK,331
220,Bacteroides-ovatus-ATCC-8483-MAF-2,cysKcustom,354
221,Bacteroides-ovatus-ATCC-8483-MAF-2,cysM,301
222,Bacteroides-ovatus-ATCC-8483-MAF-2,cysMcustom,305
223,Bacteroides-ovatus-ATCC-8483-MAF-2,lcd,262
224,Bacteroides-ovatus-ATCC-8483-MAF-2,lcdcustom,342
225,Bacteroides-ovatus-ATCC-8483-MAF-2,malY,386
226,Bacteroides-ovatus-ATCC-8483-MAF-2,malYcustom,388
227,Bacteroides-ovatus-ATCC-8483-MAF-2,metC,386
228,Bacteroides-ovatus-ATCC-8483-MAF-2,metCcustom,391
229,Bacteroides-ovatus-ATCC-8483-MAF-2,tnaA,457
230,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysK,300
231,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysKcustom,312
232,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysM,301
233,Bacteroides-pectinophilus-ATCC-43243-MAF-2,cysMcustom,305
234,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcd,219
235,Bacteroides-pectinophilus-ATCC-43243-MAF-2,lcdcustom,222
236,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malY,364
237,Bacteroides-pectinophilus-ATCC-43243-MAF-2,malYcustom,376
238,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metC,215
239,Bacteroides-pectinophilus-ATCC-43243-MAF-2,metCcustom,408
240,Bacteroides-plebeius-DSM-17135-MAF-2,cysK,332
241,Bacteroides-plebeius-DSM-17135-MAF-2,cysKcustom,356
242,Bacteroides-plebeius-DSM-17135-MAF-2,cysM,301
243,Bacteroides-plebeius-DSM-17135-MAF-2,cysMcustom,306
244,Bacteroides-plebeius-DSM-17135-MAF-2,lcd,376
245,Bacteroides-plebeius-DSM-17135-MAF-2,lcdcustom,375
246,Bacteroides-plebeius-DSM-17135-MAF-2,malY,382
247,Bacteroides-plebeius-DSM-17135-MAF-2,malYcustom,395
248,Bacteroides-plebeius-DSM-17135-MAF-2,metC,213
249,Bacteroides-plebeius-DSM-17135-MAF-2,metCcustom,225
250,Bacteroides-rodentium-JCM-16496-MAF-2,cysK,332
251,Bacteroides-rodentium-JCM-16496-MAF-2,cysKcustom,361
252,Bacteroides-rodentium-JCM-16496-MAF-2,cysM,301
253,Bacteroides-rodentium-JCM-16496-MAF-2,cysMcustom,306
254,Bacteroides-rodentium-JCM-16496-MAF-2,lcd,301
255,Bacteroides-rodentium-JCM-16496-MAF-2,lcdcustom,370
256,Bacteroides-rodentium-JCM-16496-MAF-2,malY,385
257,Bacteroides-rodentium-JCM-16496-MAF-2,malYcustom,388
258,Bacteroides-rodentium-JCM-16496-MAF-2,metC,212
259,Bacteroides-rodentium-JCM-16496-MAF-2,metCcustom,220
260,Bacteroides-rodentium-JCM-16496-MAF-2,tnaA,454
261,Bacteroides-sp-3-1-19-MAF-2,cysK,325
262,Bacteroides-sp-3-1-19-MAF-2,cysKcustom,372
263,Bacteroides-sp-3-1-19-MAF-2,cysM,301
264,Bacteroides-sp-3-1-19-MAF-2,cysMcustom,305
265,Bacteroides-sp-3-1-19-MAF-2,lcd,301
266,Bacteroides-sp-3-1-19-MAF-2,lcdcustom,372
267,Bacteroides-sp-3-1-19-MAF-2,malY,384
268,Bacteroides-sp-3-1-19-MAF-2,malYcustom,396
269,Bacteroides-sp-3-1-19-MAF-2,metC,220
270,Bacteroides-sp-3-1-19-MAF-2,metCcustom,220
271,Bacteroides-sp-9-1-42FAA-MAF-2,cysK,332
272,Bacteroides-sp-9-1-42FAA-MAF-2,cysKcustom,355
273,Bacteroides-sp-9-1-42FAA-MAF-2,cysM,301
274,Bacteroides-sp-9-1-42FAA-MAF-2,cysMcustom,305
275,Bacteroides-sp-9-1-42FAA-MAF-2,lcd,374
276,Bacteroides-sp-9-1-42FAA-MAF-2,lcdcustom,376
277,Bacteroides-sp-9-1-42FAA-MAF-2,malY,382
278,Bacteroides-sp-9-1-42FAA-MAF-2,malYcustom,387
279,Bacteroides-sp-9-1-42FAA-MAF-2,metC,213
280,Bacteroides-sp-9-1-42FAA-MAF-2,metCcustom,221
281,Bacteroides-sp-D2-MAF-2,cysK,331
282,Bacteroides-sp-D2-MAF-2,cysKcustom,354
283,Bacteroides-sp-D2-MAF-2,cysM,301
284,Bacteroides-sp-D2-MAF-2,cysMcustom,305
285,Bacteroides-sp-D2-MAF-2,lcd,262
286,Bacteroides-sp-D2-MAF-2,lcdcustom,340
287,Bacteroides-sp-D2-MAF-2,malY,386
288,Bacteroides-sp-D2-MAF-2,malYcustom,388
289,Bacteroides-sp-D2-MAF-2,metC,386
290,Bacteroides-sp-D2-MAF-2,metCcustom,391
291,Bacteroides-sp-D2-MAF-2,tnaA,457
292,Bacteroides-stercoris-ATCC-43183-MAF-2,cysK,331
293,Bacteroides-stercoris-ATCC-43183-MAF-2,cysKcustom,351
294,Bacteroides-stercoris-ATCC-43183-MAF-2,cysM,301
295,Bacteroides-stercoris-ATCC-43183-MAF-2,cysMcustom,305
296,Bacteroides-stercoris-ATCC-43183-MAF-2,lcd,370
297,Bacteroides-stercoris-ATCC-43183-MAF-2,lcdcustom,373
298,Bacteroides-stercoris-ATCC-43183-MAF-2,malY,385
299,Bacteroides-stercoris-ATCC-43183-MAF-2,malYcustom,389
300,Bacteroides-stercoris-ATCC-43183-MAF-2,metC,212
301,Bacteroides-stercoris-ATCC-43183-MAF-2,metCcustom,219
302,Bacteroides-stercoris-ATCC-43183-MAF-2,tnaA,454
303,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysK,331
304,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysKcustom,355
305,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysM,301
306,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,cysMcustom,305
307,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcd,345
308,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,lcdcustom,345
309,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malY,386
310,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,malYcustom,388
311,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metC,213
312,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,metCcustom,219
313,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,tnaA,455
314,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysK,331
315,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysKcustom,355
316,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysM,301
317,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,cysMcustom,305
318,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcd,345
319,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,lcdcustom,345
320,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malY,386
321,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,malYcustom,388
322,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metC,213
323,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,metCcustom,219
324,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,tnaA,455
325,Bacteroides-uniformis-ATCC-8492-MAF-2,cysK,332
326,Bacteroides-uniformis-ATCC-8492-MAF-2,cysKcustom,361
327,Bacteroides-uniformis-ATCC-8492-MAF-2,cysM,301
328,Bacteroides-uniformis-ATCC-8492-MAF-2,cysMcustom,320
329,Bacteroides-uniformis-ATCC-8492-MAF-2,lcd,302
330,Bacteroides-uniformis-ATCC-8492-MAF-2,lcdcustom,369
331,Bacteroides-uniformis-ATCC-8492-MAF-2,malY,385
332,Bacteroides-uniformis-ATCC-8492-MAF-2,malYcustom,388
333,Bacteroides-uniformis-ATCC-8492-MAF-2,metC,212
334,Bacteroides-uniformis-ATCC-8492-MAF-2,metCcustom,220
335,Bacteroides-uniformis-ATCC-8492-MAF-2,tnaA,454
336,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysK,331
337,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysKcustom,354
338,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysM,301
339,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,cysMcustom,305
340,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcd,269
341,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,lcdcustom,344
342,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malY,385
343,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,malYcustom,388
344,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metC,213
345,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,metCcustom,219
346,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,tnaA,454
347,Bacteroides_fragilis,cysK,332
348,Bacteroides_fragilis,cysKcustom,358
349,Bacteroides_fragilis,cysM,301
350,Bacteroides_fragilis,cysMcustom,305
351,Bacteroides_fragilis,lcd,376
352,Bacteroides_fragilis,lcdcustom,374
353,Bacteroides_fragilis,malY,385
354,Bacteroides_fragilis,malYcustom,388
355,Bacteroides_fragilis,metC,402
356,Bacteroides_fragilis,metCcustom,408
357,Bacteroides_ovatus,cysK,331
358,Bacteroides_ovatus,cysKcustom,354
359,Bacteroides_ovatus,cysM,301
360,Bacteroides_ovatus,cysMcustom,305
361,Bacteroides_ovatus,lcd,262
362,Bacteroides_ovatus,lcdcustom,342
363,Bacteroides_ovatus,malY,386
364,Bacteroides_ovatus,malYcustom,388
365,Bacteroides_ovatus,metC,386
366,Bacteroides_ovatus,metCcustom,391
367,Bacteroides_ovatus,tnaA,457
368,Bacteroides_thetaiotaomicron,cysK,331
369,Bacteroides_thetaiotaomicron,cysKcustom,355
370,Bacteroides_thetaiotaomicron,cysM,301
371,Bacteroides_thetaiotaomicron,cysMcustom,305
372,Bacteroides_thetaiotaomicron,lcd,345
373,Bacteroides_thetaiotaomicron,lcdcustom,345
374,Bacteroides_thetaiotaomicron,malY,386
375,Bacteroides_thetaiotaomicron,malYcustom,388
376,Bacteroides_thetaiotaomicron,metC,213
377,Bacteroides_thetaiotaomicron,metCcustom,219
378,Bacteroides_thetaiotaomicron,tnaA,455
379,Bifidobacterium-adolescentis-L2-32-MAF-2,cysK,298
380,Bifidobacterium-adolescentis-L2-32-MAF-2,cysKcustom,319
381,Bifidobacterium-adolescentis-L2-32-MAF-2,cysM,300
382,Bifidobacterium-adolescentis-L2-32-MAF-2,cysMcustom,305
383,Bifidobacterium-adolescentis-L2-32-MAF-2,lcd,187
384,Bifidobacterium-adolescentis-L2-32-MAF-2,lcdcustom,198
385,Bifidobacterium-adolescentis-L2-32-MAF-2,malY,381
386,Bifidobacterium-adolescentis-L2-32-MAF-2,malYcustom,394
387,Bifidobacterium-adolescentis-L2-32-MAF-2,metC,382
388,Bifidobacterium-adolescentis-L2-32-MAF-2,metCcustom,391
389,Bifidobacterium_adolescentis,cysK,298
390,Bifidobacterium_adolescentis,cysKcustom,319
391,Bifidobacterium_adolescentis,cysM,300
392,Bifidobacterium_adolescentis,cysMcustom,305
393,Bifidobacterium_adolescentis,lcd,187
394,Bifidobacterium_adolescentis,lcdcustom,199
395,Bifidobacterium_adolescentis,malY,381
396,Bifidobacterium_adolescentis,malYcustom,394
397,Bifidobacterium_adolescentis,metC,382
398,Bifidobacterium_adolescentis,metCcustom,391
399,Bifidobacterium_longum,cysK,303
400,Bifidobacterium_longum,cysKcustom,323
401,Bifidobacterium_longum,cysM,304
402,Bifidobacterium_longum,cysMcustom,309
403,Bifidobacterium_longum,lcd,130
404,Bifidobacterium_longum,lcdcustom,262
405,Bifidobacterium_longum,malY,372
406,Bifidobacterium_longum,malYcustom,400
407,Bifidobacterium_longum,metC,380
408,Bifidobacterium_longum,metCcustom,389
409,Blautia-hansenii-DSM-20583-MAF-2,cysK,300
410,Blautia-hansenii-DSM-20583-MAF-2,cysKcustom,307
411,Blautia-hansenii-DSM-20583-MAF-2,cysM,301
412,Blautia-hansenii-DSM-20583-MAF-2,cysMcustom,305
413,Blautia-hansenii-DSM-20583-MAF-2,lcd,182
414,Blautia-hansenii-DSM-20583-MAF-2,lcdcustom,177
415,Blautia-hansenii-DSM-20583-MAF-2,malY,382
416,Blautia-hansenii-DSM-20583-MAF-2,malYcustom,388
417,Blautia-hansenii-DSM-20583-MAF-2,metC,215
418,Blautia-hansenii-DSM-20583-MAF-2,metCcustom,421
419,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysK,301
420,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysKcustom,316
421,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysM,302
422,Blautia-hydrogenotrophica-DSM-10507-MAF-2,cysMcustom,308
423,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcd,178
424,Blautia-hydrogenotrophica-DSM-10507-MAF-2,lcdcustom,230
425,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malY,381
426,Blautia-hydrogenotrophica-DSM-10507-MAF-2,malYcustom,387
427,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metC,238
428,Blautia-hydrogenotrophica-DSM-10507-MAF-2,metCcustom,423
429,Blautia-obeum-ATCC-29174-MAF-2,cysK,298
430,Blautia-obeum-ATCC-29174-MAF-2,cysKcustom,313
